,PRIM_STA_C,SAMP_DATE,FINDING,system,chem,mcl,lat,long,delta_results,ARSENIC,FLUORIDE (F) (NATURAL-SOURCE),GROSS ALPHA,NITRATE (AS NO3),PERCHLORATE,TETRACHLOROETHYLENE,URANIUM (PCI/L),URANIUM MDA95,nitrate_reading,alpha_reading,as_reading,pce_reading,f_reading,perc_reading,u_(pci/l)_reading,u_mda95_reading
0,1500006-001,2012-01-06,50.0,1500006,NITRATE (AS NO3),45.0,35.532686,-119.280146,5.0,0,0,0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1500006-001,2012-02-03,3.65,1500006,GROSS ALPHA,15.0,35.532686,-119.280146,-11.35,0,0,1,0,0,0,0,0,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35
2,1500050-002,2012-08-08,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
3,1500050-002,2012-08-08,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.10846,-118.379125,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
4,1500050-002,2012-08-08,4.99,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-10.01,0,0,1,0,0,0,0,0,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01
5,1500050-002,2013-07-09,19.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-26.0,0,0,0,1,0,0,0,0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
6,1500050-002,2013-10-09,1.3,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-0.7,0,1,0,0,0,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
7,1500050-002,2013-10-09,32.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-13.0,0,0,0,1,0,0,0,0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
8,1500050-002,2014-07-17,20.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-25.0,0,0,0,1,0,0,0,0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0
9,1500050-002,2015-05-12,31.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-14.0,0,0,0,1,0,0,0,0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
10,1500050-002,2015-07-21,0.43,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-1.57,0,1,0,0,0,0,0,0,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
11,1500050-002,2015-07-21,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
12,1500050-002,2015-07-21,4.0,1500050,PERCHLORATE,6.0,35.10846,-118.379125,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
13,1500050-002,2015-07-21,3.32,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-11.68,0,0,1,0,0,0,0,0,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68
14,1500050-002,2016-02-18,4.0,1500050,PERCHLORATE,6.0,35.10846,-118.379125,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
15,1500050-002,2016-02-18,4.53,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-10.469999999999999,0,0,1,0,0,0,0,0,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999
16,1500050-002,2018-08-13,0.96,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-1.04,0,1,0,0,0,0,0,0,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
17,1500050-002,2018-08-13,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
